Package ID: 1000 Address sender: 4-603817 Status: 3: Van 2026, status=COLLECTION
Package ID: 1001 Address sender: 3-655773 Status: 4: Van 2021, status=COLLECTION
Package ID: 1002 Address sender: 4-603817 Status: 5: Van 2027, status=COLLECTION
Package ID: 1003 Address sender: 3-655773 Status: 7: NonStandardTruck 2005, status=COLLECTION
Package ID: 1004 Address sender: 4-603817 Status: 7: Van 2028, status=COLLECTION
Package ID: 1006 Address sender: 3-655773 Status: 10: Van 2022, status=COLLECTION
Package ID: 1007 Address sender: 4-603817 Status: 11: Van 2029, status=COLLECTION
Package ID: 1009 Address sender: 3-655773 Status: 16: Van 2023, status=COLLECTION
Package ID: 1001 Address sender: 3-655773 Status: 44: Branch 4, status=BRANCH_STORAGE
Package ID: 1003 Address sender: 3-655773 Status: 47: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1006 Address sender: 3-655773 Status: 49: Branch 4, status=BRANCH_STORAGE
Package ID: 1009 Address sender: 3-655773 Status: 55: Branch 4, status=BRANCH_STORAGE
Package ID: 1003 Address sender: 3-655773 Status: 57: Customer, status=DELIVERED
Package ID: 1005 Address sender: 4-603817 Status: 57: NonStandardTruck 2005, status=COLLECTION
Package ID: 1000 Address sender: 4-603817 Status: 83: Branch 5, status=BRANCH_STORAGE
Package ID: 1002 Address sender: 4-603817 Status: 85: Branch 5, status=BRANCH_STORAGE
Package ID: 1004 Address sender: 4-603817 Status: 87: Branch 5, status=BRANCH_STORAGE
Package ID: 1007 Address sender: 4-603817 Status: 91: Branch 5, status=BRANCH_STORAGE
Package ID: 1005 Address sender: 4-603817 Status: 137: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1005 Address sender: 4-603817 Status: 148: Customer, status=DELIVERED
Package ID: 1008 Address sender: 3-655773 Status: 148: NonStandardTruck 2005, status=COLLECTION
Package ID: 1000 Address sender: 1-743876 Status: 3: NonStandardTruck 2004, status=COLLECTION
Package ID: 1002 Address sender: 1-743876 Status: 5: Van 2009, status=COLLECTION
Package ID: 1003 Address sender: 1-743876 Status: 7: Van 2010, status=COLLECTION
Package ID: 1004 Address sender: 1-1019508 Status: 7: Van 2011, status=COLLECTION
Package ID: 1005 Address sender: 1-743876 Status: 9: Van 2012, status=COLLECTION
Package ID: 1000 Address sender: 1-743876 Status: 73: NonStandardTruck 2004, status=DISTRIBUTION
Package ID: 1002 Address sender: 1-743876 Status: 75: Branch 2, status=BRANCH_STORAGE
Package ID: 1008 Address sender: 1-1019508 Status: 75: Van 2009, status=COLLECTION
Package ID: 1003 Address sender: 1-743876 Status: 77: Branch 2, status=BRANCH_STORAGE
Package ID: 1007 Address sender: 1-743876 Status: 77: Van 2010, status=COLLECTION
Package ID: 1005 Address sender: 1-743876 Status: 79: Branch 2, status=BRANCH_STORAGE
Package ID: 1006 Address sender: 1-1019508 Status: 79: Van 2012, status=COLLECTION
Package ID: 1000 Address sender: 1-743876 Status: 83: Customer, status=DELIVERED
Package ID: 1001 Address sender: 1-1019508 Status: 83: NonStandardTruck 2004, status=COLLECTION
Package ID: 1000 Address sender: 4-969091 Status: 4: Van 2026, status=COLLECTION
Package ID: 1001 Address sender: 1-671174 Status: 6: Van 2011, status=COLLECTION
Package ID: 1002 Address sender: 4-969091 Status: 7: Van 2027, status=COLLECTION
Package ID: 1003 Address sender: 4-969091 Status: 10: NonStandardTruck 2005, status=COLLECTION
Package ID: 1006 Address sender: 1-671174 Status: 16: Van 2012, status=COLLECTION
Package ID: 1008 Address sender: 1-671174 Status: 21: Van 2013, status=COLLECTION
Package ID: 1000 Address sender: 4-969091 Status: 24: Branch 5, status=BRANCH_STORAGE
Package ID: 1002 Address sender: 4-969091 Status: 27: Branch 5, status=BRANCH_STORAGE
Package ID: 1003 Address sender: 4-969091 Status: 30: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1003 Address sender: 4-969091 Status: 40: Customer, status=DELIVERED
Package ID: 1004 Address sender: 1-671174 Status: 40: NonStandardTruck 2005, status=COLLECTION
Package ID: 1000 Address sender: 1-313814 Status: 4: Van 2011, status=COLLECTION
Package ID: 1001 Address sender: 2-883880 Status: 6: Van 2016, status=COLLECTION
Package ID: 1002 Address sender: 1-313814 Status: 7: Van 2012, status=COLLECTION
Package ID: 1003 Address sender: 1-313814 Status: 10: Van 2013, status=COLLECTION
Package ID: 1004 Address sender: 2-883880 Status: 11: Van 2017, status=COLLECTION
Package ID: 1005 Address sender: 1-313814 Status: 13: Van 2014, status=COLLECTION
Package ID: 1001 Address sender: 2-883880 Status: 16: Branch 3, status=BRANCH_STORAGE
Package ID: 1006 Address sender: 1-313814 Status: 16: NonStandardTruck 2005, status=COLLECTION
Package ID: 1007 Address sender: 2-883880 Status: 16: Van 2016, status=COLLECTION
Package ID: 1008 Address sender: 2-883880 Status: 21: Van 2018, status=COLLECTION
Package ID: 1004 Address sender: 2-883880 Status: 21: Branch 3, status=BRANCH_STORAGE
Package ID: 1007 Address sender: 2-883880 Status: 26: Branch 3, status=BRANCH_STORAGE
Package ID: 1008 Address sender: 2-883880 Status: 31: Branch 3, status=BRANCH_STORAGE
