Package ID: 1000 Address sender: 0-944778 Status: 5: Van 2006, status=COLLECTION
Package ID: 1001 Address sender: 1-585166 Status: 6: Van 2011, status=COLLECTION
Package ID: 1002 Address sender: 0-944778 Status: 9: Van 2007, status=COLLECTION
Package ID: 1003 Address sender: 1-585166 Status: 11: NonStandardTruck 2005, status=COLLECTION
Package ID: 1005 Address sender: 1-585166 Status: 16: Van 2012, status=COLLECTION
Package ID: 1006 Address sender: 0-944778 Status: 17: Van 2008, status=COLLECTION
Package ID: 1007 Address sender: 0-944778 Status: 21: Van 2009, status=COLLECTION
Package ID: 1001 Address sender: 1-585166 Status: 75: Branch 2, status=BRANCH_STORAGE
Package ID: 1003 Address sender: 1-585166 Status: 80: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1005 Address sender: 1-585166 Status: 85: Branch 2, status=BRANCH_STORAGE
Package ID: 1003 Address sender: 1-585166 Status: 90: Customer, status=DELIVERED
Package ID: 1004 Address sender: 0-944778 Status: 90: NonStandardTruck 2005, status=COLLECTION
Package ID: 1000 Address sender: 0-944778 Status: 95: Branch 1, status=BRANCH_STORAGE
Package ID: 1002 Address sender: 0-944778 Status: 98: Branch 1, status=BRANCH_STORAGE
Package ID: 1006 Address sender: 0-944778 Status: 106: Branch 1, status=BRANCH_STORAGE
Package ID: 1007 Address sender: 0-944778 Status: 110: Branch 1, status=BRANCH_STORAGE
Package ID: 1004 Address sender: 0-944778 Status: 180: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1004 Address sender: 0-944778 Status: 190: Customer, status=DELIVERED
Package ID: 1008 Address sender: 1-585166 Status: 190: NonStandardTruck 2005, status=COLLECTION
Package ID: 1002 Address sender: 0-944778 Status: 219: Van 2006, status=DISTRIBUTION
Package ID: 1007 Address sender: 0-944778 Status: 219: Van 2007, status=DISTRIBUTION
Package ID: 1001 Address sender: 1-585166 Status: 229: Van 2011, status=DISTRIBUTION
Package ID: 1005 Address sender: 1-585166 Status: 229: Van 2012, status=DISTRIBUTION
Package ID: 1006 Address sender: 0-944778 Status: 229: Van 2008, status=DISTRIBUTION
Package ID: 1001 Address sender: 1-585166 Status: 249: Customer, status=DELIVERED
Package ID: 1000 Address sender: 0-944778 Status: 259: Van 2009, status=DISTRIBUTION
Package ID: 1008 Address sender: 1-585166 Status: 260: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1005 Address sender: 1-585166 Status: 269: Customer, status=DELIVERED
Package ID: 1008 Address sender: 1-585166 Status: 270: Customer, status=DELIVERED
Package ID: 1009 Address sender: 1-585166 Status: 270: NonStandardTruck 2005, status=COLLECTION
Package ID: 1007 Address sender: 0-944778 Status: 279: Customer, status=DELIVERED
Package ID: 1002 Address sender: 0-944778 Status: 289: Customer, status=DELIVERED
Package ID: 1006 Address sender: 0-944778 Status: 309: Customer, status=DELIVERED
Package ID: 1000 Address sender: 0-944778 Status: 309: Customer, status=DELIVERED
Package ID: 1010 Address sender: 2-616672 Status: 316: Van 2016, status=COLLECTION
Package ID: 1011 Address sender: 2-616672 Status: 321: Van 2017, status=COLLECTION
Package ID: 1012 Address sender: 2-616672 Status: 326: Van 2018, status=COLLECTION
Package ID: 1013 Address sender: 2-616672 Status: 331: Van 2019, status=COLLECTION
Package ID: 1009 Address sender: 1-585166 Status: 340: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1010 Address sender: 2-616672 Status: 345: Branch 3, status=BRANCH_STORAGE
Package ID: 1011 Address sender: 2-616672 Status: 350: Branch 3, status=BRANCH_STORAGE
Package ID: 1009 Address sender: 1-585166 Status: 351: Customer, status=DELIVERED
Package ID: 1014 Address sender: 2-616672 Status: 351: NonStandardTruck 2005, status=COLLECTION
Package ID: 1012 Address sender: 2-616672 Status: 355: Branch 3, status=BRANCH_STORAGE
Package ID: 1015 Address sender: 1-1066935 Status: 358: Van 2011, status=COLLECTION
Package ID: 1013 Address sender: 2-616672 Status: 360: Branch 3, status=BRANCH_STORAGE
Package ID: 1017 Address sender: 1-1066935 Status: 368: Van 2012, status=COLLECTION
Package ID: 1019 Address sender: 1-1066935 Status: 378: Van 2013, status=COLLECTION
Package ID: 1014 Address sender: 2-616672 Status: 381: NonStandardTruck 2005, status=DISTRIBUTION
Package ID: 1014 Address sender: 2-616672 Status: 391: Customer, status=DELIVERED
Package ID: 1016 Address sender: 1-1066935 Status: 391: NonStandardTruck 2005, status=COLLECTION
Package ID: 1015 Address sender: 1-1066935 Status: 417: Branch 2, status=BRANCH_STORAGE
